"","DBN","school_name","year","tot_enrollment","num_female","num_male","Number_Asian","Number_Black","Number_Hispanic","Number_Categories_Unrepresented","Number_White","Num_Students_With_Disabilities","Num_English_Lang_Learners","Num_LowIncome","Borough","grades","gym_square_footage","gym_room_function","shared","location","has_other_purpose","number_gyms","prop_female","econ_as_num","UnderrepresentedProportion","Prop_LowIncome"
"1","01M015","P.S. 015 Roberto Clemente","2016-17",178,83,95,14,51,105,4,4,51,12,152,"Manhattan","Elementary",3243,"GYM","Y","Inside","N",2,0.466292134831461,89.2,0.898876404494382,0.853932584269663
"2","01M015","P.S. 015 Roberto Clemente","2016-17",178,83,95,14,51,105,4,4,51,12,152,"Manhattan","Elementary",14953,"OUTDOOR YARD","Y","Outside","N",2,0.466292134831461,89.2,0.898876404494382,0.853932584269663
"3","01M019","P.S. 019 Asher Levy","2016-17",271,127,144,24,51,180,1,15,88,9,207,"Manhattan","Elementary",3942,"GYM","Y","Inside","N",2,0.468634686346863,58.2,0.856088560885609,0.763837638376384
"4","01M019","P.S. 019 Asher Levy","2016-17",271,127,144,24,51,180,1,15,88,9,207,"Manhattan","Elementary",28121,"OUTDOOR YARD","Y","Outside","N",2,0.468634686346863,58.2,0.856088560885609,0.763837638376384
"5","01M020","P.S. 020 Anna Silver","2016-17",540,265,275,175,52,264,22,27,116,93,315,"Manhattan","Elementary",1080,"MULTI-PURPOSE CLASSROOM","N","Inside","Y",3,0.490740740740741,68,0.625925925925926,0.583333333333333
"6","01M020","P.S. 020 Anna Silver","2016-17",540,265,275,175,52,264,22,27,116,93,315,"Manhattan","Elementary",4000,"GYM","N","Inside","N",3,0.490740740740741,68,0.625925925925926,0.583333333333333
"7","01M020","P.S. 020 Anna Silver","2016-17",540,265,275,175,52,264,22,27,116,93,315,"Manhattan","Elementary",3191,"OUTDOOR YARD","N","Outside","N",3,0.490740740740741,68,0.625925925925926,0.583333333333333
"8","01M034","P.S. 034 Franklin D. Roosevelt","2016-17",350,170,180,19,102,216,2,11,130,27,348,"Manhattan","K-8",3450,"GYM","N","Inside","N",3,0.485714285714286,86.8,0.914285714285714,0.994285714285714
"9","01M034","P.S. 034 Franklin D. Roosevelt","2016-17",350,170,180,19,102,216,2,11,130,27,348,"Manhattan","K-8",676,"MULTI-PURPOSE CLASSROOM","N","Inside","Y",3,0.485714285714286,86.8,0.914285714285714,0.994285714285714
"10","01M034","P.S. 034 Franklin D. Roosevelt","2016-17",350,170,180,19,102,216,2,11,130,27,348,"Manhattan","K-8",27457,"OUTDOOR YARD","N","Outside","N",3,0.485714285714286,86.8,0.914285714285714,0.994285714285714
"11","01M063","The STAR Academy - P.S.63","2016-17",200,97,103,8,37,129,5,21,66,5,165,"Manhattan","Elementary",728,"DANCE ROOM","Y","Inside","N",3,0.485,67.9,0.855,0.825
"12","01M063","The STAR Academy - P.S.63","2016-17",200,97,103,8,37,129,5,21,66,5,165,"Manhattan","Elementary",1500,"GYM","Y","Inside","N",3,0.485,67.9,0.855,0.825
"13","01M063","The STAR Academy - P.S.63","2016-17",200,97,103,8,37,129,5,21,66,5,165,"Manhattan","Elementary",1740,"GYM","Y","Inside","N",3,0.485,67.9,0.855,0.825
"14","01M064","P.S. 064 Robert Simon","2016-17",247,104,143,13,48,167,3,16,81,10,239,"Manhattan","Elementary",1650,"MULTI-PURPOSE CLASSROOM","Y","Inside","Y",5,0.421052631578947,83,0.882591093117409,0.967611336032389
"15","01M064","P.S. 064 Robert Simon","2016-17",247,104,143,13,48,167,3,16,81,10,239,"Manhattan","Elementary",1344,"DANCE ROOM","Y","Inside","N",5,0.421052631578947,83,0.882591093117409,0.967611336032389
"16","01M064","P.S. 064 Robert Simon","2016-17",247,104,143,13,48,167,3,16,81,10,239,"Manhattan","Elementary",6336,"GYM","Y","Inside","N",5,0.421052631578947,83,0.882591093117409,0.967611336032389
"17","01M064","P.S. 064 Robert Simon","2016-17",247,104,143,13,48,167,3,16,81,10,239,"Manhattan","Elementary",13310,"OUTDOOR YARD","Y","Outside","N",5,0.421052631578947,83,0.882591093117409,0.967611336032389
"18","01M064","P.S. 064 Robert Simon","2016-17",247,104,143,13,48,167,3,16,81,10,239,"Manhattan","Elementary",14159,"OUTDOOR YARD","Y","Outside","N",5,0.421052631578947,83,0.882591093117409,0.967611336032389
"19","01M110","P.S. 110 Florence Nightingale","2016-17",383,179,204,70,37,161,10,105,55,20,221,"Manhattan","Elementary",3367,"GYM","N","Inside","N",2,0.467362924281984,49.7,0.543080939947781,0.577023498694517
"20","01M110","P.S. 110 Florence Nightingale","2016-17",383,179,204,70,37,161,10,105,55,20,221,"Manhattan","Elementary",4089,"OUTDOOR YARD","N","Outside","N",2,0.467362924281984,49.7,0.543080939947781,0.577023498694517
"21","01M134","P.S. 134 Henrietta Szold","2016-17",354,171,183,55,71,213,5,10,143,33,319,"Manhattan","Elementary",920,"DANCE ROOM","N","Inside","N",3,0.483050847457627,83.5,0.81638418079096,0.901129943502825
"22","01M134","P.S. 134 Henrietta Szold","2016-17",354,171,183,55,71,213,5,10,143,33,319,"Manhattan","Elementary",528,"DANCE ROOM","N","Inside","N",3,0.483050847457627,83.5,0.81638418079096,0.901129943502825
"23","01M134","P.S. 134 Henrietta Szold","2016-17",354,171,183,55,71,213,5,10,143,33,319,"Manhattan","Elementary",3850,"GYM","N","Inside","N",3,0.483050847457627,83.5,0.81638418079096,0.901129943502825
"24","01M140","P.S. 140 Nathan Straus","2016-17",382,182,200,18,45,304,4,11,124,45,287,"Manhattan","K-8",3850,"GYM","N","Inside","N",2,0.476439790575916,84.3,0.924083769633508,0.75130890052356
"25","01M140","P.S. 140 Nathan Straus","2016-17",382,182,200,18,45,304,4,11,124,45,287,"Manhattan","K-8",2890,"OUTDOOR YARD","N","Outside","N",2,0.476439790575916,84.3,0.924083769633508,0.75130890052356
"26","01M142","P.S. 142 Amalia Castro","2016-17",356,162,194,17,42,285,8,4,121,32,349,"Manhattan","Elementary",550,"MULTI-PURPOSE CLASSROOM","Y","Inside","Y",7,0.455056179775281,86.6,0.941011235955056,0.980337078651685
"27","01M142","P.S. 142 Amalia Castro","2016-17",356,162,194,17,42,285,8,4,121,32,349,"Manhattan","Elementary",3000,"GYM","Y","Inside","N",7,0.455056179775281,86.6,0.941011235955056,0.980337078651685
"28","01M142","P.S. 142 Amalia Castro","2016-17",356,162,194,17,42,285,8,4,121,32,349,"Manhattan","Elementary",520,"MULTI-PURPOSE ROOM","Y","Inside","Y",7,0.455056179775281,86.6,0.941011235955056,0.980337078651685
"29","01M142","P.S. 142 Amalia Castro","2016-17",356,162,194,17,42,285,8,4,121,32,349,"Manhattan","Elementary",528,"MULTI-PURPOSE ROOM","Y","Inside","Y",7,0.455056179775281,86.6,0.941011235955056,0.980337078651685
"30","01M142","P.S. 142 Amalia Castro","2016-17",356,162,194,17,42,285,8,4,121,32,349,"Manhattan","Elementary",550,"MULTI-PURPOSE ROOM","Y","Inside","Y",7,0.455056179775281,86.6,0.941011235955056,0.980337078651685
"31","01M142","P.S. 142 Amalia Castro","2016-17",356,162,194,17,42,285,8,4,121,32,349,"Manhattan","Elementary",26472,"OUTDOOR YARD","Y","Outside","N",7,0.455056179775281,86.6,0.941011235955056,0.980337078651685
"32","01M142","P.S. 142 Amalia Castro","2016-17",356,162,194,17,42,285,8,4,121,32,349,"Manhattan","Elementary",7098,"OUTDOOR YARD","Y","Outside","N",7,0.455056179775281,86.6,0.941011235955056,0.980337078651685
"33","01M184","P.S. 184m Shuang Wen","2016-17",672,330,342,468,30,81,36,57,125,109,461,"Manhattan","K-8",4620,"MULTI-PURPOSE ROOM","N","Inside","Y",3,0.491071428571429,54,0.21875,0.686011904761905
"34","01M184","P.S. 184m Shuang Wen","2016-17",672,330,342,468,30,81,36,57,125,109,461,"Manhattan","K-8",1350,"DANCE ROOM","N","Inside","N",3,0.491071428571429,54,0.21875,0.686011904761905
"35","01M184","P.S. 184m Shuang Wen","2016-17",672,330,342,468,30,81,36,57,125,109,461,"Manhattan","K-8",48593,"OUTDOOR YARD","N","Outside","N",3,0.491071428571429,54,0.21875,0.686011904761905
