Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Bldg ID,Bldg Name,Ownership,Room Number,Square Feet,Room Function,Shared with other schools?,Inside v outside,Space used for any other purpose beside PE,Location 1
Manhattan,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,DOE Owned,GYM.,"3,243",GYMNASIUM,Y,Inside,N,
Manhattan,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"14,953",OUTDOOR YARD,Y,Outside,N,
Manhattan,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,DOE Owned,GYM,"3,942",GYMNASIUM,Y,Inside,N,
Manhattan,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"28,121",OUTDOOR YARD,Y,Outside,N,
Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,DOE Owned,122/24S,"1,080",MULTI-PURPOSE CLASSROOM,N,Inside,Y,
Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,DOE Owned,GYM,"4,000",GYMNASIUM,N,Inside,N,
Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"3,191",OUTDOOR YARD,N,Outside,N,
Manhattan,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - MANHATTAN,DOE Owned,124,"3,450",GYMNASIUM,N,Inside,N,
Manhattan,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - MANHATTAN,DOE Owned,314,676,MULTI-PURPOSE CLASSROOM,N,Inside,Y,
Manhattan,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"27,457",OUTDOOR YARD,N,Outside,N,
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,DOE Owned,114,728,DANCE ROOM,Y,Inside,N,
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,DOE Owned,417,"1,500",GYMNASIUM,Y,Inside,N,
Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,DOE Owned,GYMB,"1,740",GYMNASIUM,Y,Inside,N,
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,224,"1,650",MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,B43,"1,344",DANCE ROOM,Y,Inside,N,
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,B53,"6,336",GYMNASIUM,Y,Inside,N,
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"13,310",OUTDOOR YARD,Y,Outside,N,
Manhattan,1,1,01M064,P.S. 064 Robert Simon,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,OUTDOOR YARD 2,"14,159",OUTDOOR YARD,Y,Outside,N,
Manhattan,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - MANHATTAN,DOE Owned,GYM,"3,367",GYMNASIUM,N,Inside,N,
Manhattan,1,1,01M110,P.S. 110 Florence Nightingale,Elementary,M110,P.S. 110 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"4,089",OUTDOOR YARD,N,Outside,N,
Manhattan,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,DOE Owned,140,920,DANCE ROOM,N,Inside,N,
Manhattan,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,DOE Owned,140A,528,DANCE ROOM,N,Inside,N,
Manhattan,1,1,01M134,P.S. 134 Henrietta Szold,Elementary,M134,P.S. 134 - MANHATTAN,DOE Owned,GYM,"3,850",GYMNASIUM,N,Inside,N,
Manhattan,1,1,01M140,P.S. 140 Nathan Straus,K-8,M140,P.S. 140 - MANHATTAN,DOE Owned,GYM,"3,850",GYMNASIUM,N,Inside,N,
Manhattan,1,1,01M140,P.S. 140 Nathan Straus,K-8,M140,P.S. 140 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"2,890",OUTDOOR YARD,N,Outside,N,
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,118,550,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,140,"3,000",GYMNASIUM,Y,Inside,N,
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,314A,520,MULTI-PURPOSE ROOM,Y,Inside,Y,
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,314B,528,MULTI-PURPOSE ROOM,Y,Inside,Y,
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,314C,550,MULTI-PURPOSE ROOM,Y,Inside,Y,
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"26,472",OUTDOOR YARD,Y,Outside,N,
Manhattan,1,1,01M142,P.S. 142 Amalia Castro,Elementary,M142,P.S. 142 - MANHATTAN,DOE Owned,OUTDOOR YARD 2,"7,098",OUTDOOR YARD,Y,Outside,N,
Manhattan,1,1,01M184,P.S. 184m Shuang Wen,K-8,M137,P.S. 137 - MANHATTAN,DOE Owned,220,"4,620",MULTI-PURPOSE NON CLASSROOM,N,Inside,Y,
